Destination,Budget,Type of Vacation,No. of Days,Range,Season,Mode of Transport,No. of Members,Company
Shimla,25000,Hill Station,4,Domestic,Spring,Train,3
Agra,30000,Heritage,3,Domestic,Winter,Train,2  
Andaman,50000,Beach,5,International,Winter,Flight,4
Kerala,35000,Ayurvedic,7,Domestic,Monsoon,Flight,2
Coorg,25000,Hill Station,3,Domestic,Monsoon,Flight,4 
Jaipur,40000,Heritage,5,Domestic,Winter,Train,3
Leh,45000,Adventure,7,Domestic,Summer,Flight,4  
Goa,30000,Beach,5,Domestic,Winter,Flight,3 
Sikkim,35000,Hill Station,6,Domestic,Spring,Flight,3   
Rishikesh,25000,Adventure,4,Domestic,Summer,Train,5  
Jim Corbett,30000,Safari,3,Domestic,Winter,Train,4  
Kumarakom,40000,Ayurvedic,6,Domestic,Monsoon,Flight,2   
Jodhpur,35000,Heritage,4,Domestic,Winter,Train,3
Udaipur,40000,Heritage,5,Domestic,Winter,Train,3  
Manali,28000,Adventure,5,Domestic,Summer,Train,4   
Munnar,30000,HillStation,4,Domestic,Monsoon,Flight,3
Darjeeling,32000,HillStation,5,Domestic,Spring,Train,4    
Ooty,28000,Hill Station,4,Domestic,Monsoon,Train,3
Madurai,25000,Spiritual,3,Domestic,Winter,Flight,3   
Tawang,40000,Hill Station,6,Domestic,Summer,Flight,4
Kaziranga,35000,Safari,4,Domestic,Spring,Flight,4  
Amritsar,23000,Spiritual,3,Domestic,Winter,Train,3   
Khajuraho,30000,Heritage,4,Domestic,Monsoon,Flight,3
Orchha,22000,Heritage,3,Domestic,Winter,Train,3  
Alappuzha,35000,Backwaters,5,Domestic,Monsoon,Flight,3   
McLeodganj,26000,Spiritual,5,Domestic,Summer,Train,4   
Ranthambore,32000,Safari,4,Domestic,Winter,Train,4   
Varanasi,28000,Spiritual,4,Domestic,Winter,Train,3    
Hampi,25000,Heritage,4,Domestic,Winter,Flight,3    
Mumbai,45000,Metro,4,Domestic,Winter,Flight,5    
Kovalam,30000,Beach,4,Domestic,Monsoon,Flight,3     
Mahabalipuram,28000,Heritage,4,Domestic,Winter,Train,3      
Pondicherry,33000,Heritage,5,Domestic,Spring,Train,3   
Port Blair,50000,Island,6,Domestic,Winter,Flight,4      
Spiti,40000,Adventure,7,Domestic,Summer,Train,5   
Ladakh,50000,Adventure,8,Domestic,Summer,Flight,5      
Dalhousie,30000,Hill Station,5,Domestic,Summer,Train,4      
Nainital,28000,Hill Station,4,Domestic,Spring,Train,3      
